EmployeeID,FullName,Branch,Active,Position,Target,Sales,Bonus,JoinDate,Achieve the target, month,year
1023,Daniel Bright,Aswan,Yes,Branch Manager,20752,26897,922,20/09/2023,Not Achieve,September,2023
1024,Peter Callahan Jr.,Cairo,Yes,Branch Manager,69209,68580,0,29/09/2020,Achieve,September,2020
1025,Jennifer Brown,Alexandria,Yes,Sales Manager,30365,32798,122,18/08/2022,Not Achieve,August,2022
1026,Julie King,Alexandria,No,Sales Rep,53271,63223,498,02/02/2024,Not Achieve,February,2024
1027,Alexandra Le,Alexandria,Yes,Branch Manager,59909,58167,0,08/03/2025,Achieve,March,2025
1028,Nicole Mack,Alexandria,Yes,Branch Manager,54757,49766,0,11/04/2022,Achieve,April,2022
1029,Jeffrey Chavez,Alexandria,Yes,Sales Rep,43788,53184,940,16/08/2021,Not Achieve,August,2021
1030,Pamela Romero,Giza,Yes,Branch Manager,25161,21564,0,15/04/2020,Achieve,April,2020
1031,Elizabeth Fowler,Tanta,Yes,Branch Manager,28241,25344,0,25/07/2024,Achieve,July,2024
1032,James Martin,Tanta,No,Sales Rep,37370,41015,547,23/11/2023,Not Achieve,November,2023
1033,Linda Burns,Tanta,No,Branch Manager,69497,76456,1044,02/05/2020,Not Achieve,May,2020
1034,Sherry Decker,Giza,Yes,Sales Manager,64019,69666,565,31/12/2021,Not Achieve,December,2021
1035,David Bradley,Tanta,No,Sales Manager,27930,26991,0,20/01/2020,Achieve,January,2020
1036,John Jones,Cairo,Yes,Branch Manager,56301,55071,0,01/12/2023,Achieve,December,2023
1037,Betty Alvarez,Giza,Yes,Branch Manager,61359,57323,0,23/01/2024,Achieve,January,2024
1038,Joseph Obrien,Cairo,No,Sales Manager,24643,28066,171,09/03/2021,Not Achieve,March,2021
1039,Nicole Vaughn,Alexandria,Yes,Sales Rep,55339,52506,0,13/01/2022,Achieve,January,2022
1040,Michael Brooks,Aswan,Yes,Sales Rep,50996,59226,823,15/10/2023,Not Achieve,October,2023
1041,David Brown,Giza,Yes,Branch Manager,48249,49053,80,25/07/2019,Not Achieve,July,2019
1042,Crystal Robinson,Tanta,Yes,Branch Manager,23550,29582,905,27/12/2019,Not Achieve,December,2019
1043,Amy Jones,Cairo,Yes,Branch Manager,42236,50352,406,26/08/2019,Not Achieve,August,2019
1044,Andrea Young,Giza,Yes,Branch Manager,49400,46696,0,27/01/2025,Achieve,January,2025
1045,Mr. Nathaniel Khan,Giza,Yes,Sales Rep,24940,27200,339,14/04/2024,Not Achieve,April,2024
1046,Richard Aguirre,Cairo,Yes,Branch Manager,20967,17495,0,01/01/2021,Achieve,January,2021
1047,Matthew Gomez,Giza,Yes,Sales Manager,34008,43174,917,18/11/2022,Not Achieve,November,2022
1048,Nicholas Nunez,Cairo,Yes,Sales Rep,45586,44931,0,17/11/2024,Achieve,November,2024
1049,James Morgan,Alexandria,Yes,Branch Manager,56422,62266,877,24/04/2020,Not Achieve,April,2020
1050,Connor West,Tanta,Yes,Sales Manager,34267,30225,0,21/12/2022,Achieve,December,2022
1051,Joel Baxter,Aswan,Yes,Sales Manager,23746,19567,0,10/01/2020,Achieve,January,2020
1052,Scott Pierce,Tanta,Yes,Branch Manager,30317,26248,0,25/10/2019,Achieve,October,2019
1053,Kimberly Smith,Cairo,No,Sales Rep,58996,55109,0,05/03/2020,Achieve,March,2020
1054,Sarah Martin,Giza,Yes,Branch Manager,36135,40620,673,07/07/2023,Not Achieve,July,2023
1055,Dr. Steven Martin,Cairo,Yes,Sales Manager,63081,67643,684,27/05/2019,Not Achieve,May,2019
1056,Mrs. Rachel Gibson,Aswan,Yes,Sales Manager,33386,39358,896,25/12/2022,Not Achieve,December,2022
1057,Monica Logan,Alexandria,Yes,Sales Manager,28577,34581,901,05/01/2025,Not Achieve,January,2025
1058,Brittney Phillips,Alexandria,Yes,Sales Rep,20610,23118,376,18/11/2019,Not Achieve,November,2019
1059,Kimberly Adkins,Aswan,No,Sales Rep,55234,53726,0,14/11/2019,Achieve,November,2019
1060,John Calhoun,Alexandria,Yes,Sales Manager,24508,33913,470,26/11/2023,Not Achieve,November,2023
1061,Tyler Miller,Alexandria,Yes,Sales Manager,55600,62126,653,18/12/2020,Not Achieve,December,2020
1062,Barry Hensley,Aswan,No,Branch Manager,54664,49792,0,26/10/2022,Achieve,October,2022
1063,Steve Sanchez,Aswan,Yes,Branch Manager,26788,36175,469,10/06/2024,Not Achieve,June,2024
1064,Bradley Sandoval,Alexandria,Yes,Sales Rep,68655,72719,203,11/03/2024,Not Achieve,March,2024
1065,Taylor Harris,Alexandria,Yes,Sales Rep,67029,67646,31,21/01/2022,Not Achieve,January,2022
1066,James Powers,Alexandria,Yes,Sales Manager,23329,19841,0,08/12/2021,Achieve,December,2021
1067,Timothy Walls,Tanta,Yes,Sales Rep,20232,20696,23,18/06/2019,Not Achieve,June,2019
1068,Zachary Ferrell,Alexandria,Yes,Sales Manager,56154,62715,656,03/01/2020,Not Achieve,January,2020
1069,Katie Anderson,Aswan,Yes,Sales Rep,65286,75095,490,09/05/2022,Not Achieve,May,2022
1070,Sherry Wood,Aswan,Yes,Sales Manager,58175,62227,203,22/09/2020,Not Achieve,September,2020
1071,Joshua Turner,Tanta,Yes,Sales Manager,43897,53625,486,11/12/2024,Not Achieve,December,2024
1072,Mary Spencer,Alexandria,Yes,Sales Rep,63708,60392,0,10/01/2025,Achieve,January,2025
1073,Shawn Baker,Aswan,No,Sales Manager,60675,67954,364,17/04/2020,Not Achieve,April,2020
1074,Brittney Campbell,Giza,No,Sales Rep,47020,42426,0,05/03/2021,Achieve,March,2021
1075,Christina Walters,Alexandria,Yes,Sales Manager,63903,73059,1373,18/08/2021,Not Achieve,August,2021
1076,Danielle Odonnell,Giza,Yes,Branch Manager,27084,28351,63,25/10/2019,Not Achieve,October,2019
1077,Jeff Hill,Tanta,Yes,Sales Manager,42915,42915,0,01/06/2019,Not Achieve,June,2019
1078,Carlos Whitney,Giza,Yes,Sales Rep,46113,46491,38,04/10/2020,Not Achieve,October,2020
1079,Kristen Patterson,Cairo,No,Sales Manager,43012,48522,826,20/06/2019,Not Achieve,June,2019
1080,Tony Vazquez,Tanta,Yes,Branch Manager,41702,37154,0,26/08/2020,Achieve,August,2020
1081,Sandra Aguilar,Alexandria,Yes,Sales Manager,22507,19283,0,23/08/2020,Achieve,August,2020
1082,Andrew Diaz,Tanta,Yes,Sales Manager,48599,53531,740,21/09/2019,Not Achieve,September,2019
1083,Christine Wright,Cairo,Yes,Branch Manager,32457,31630,0,04/04/2020,Achieve,April,2020
1084,Justin Baxter,Tanta,Yes,Branch Manager,65013,71800,1018,30/08/2024,Not Achieve,August,2024
1085,Tammy Young,Giza,Yes,Sales Rep,63531,63940,61,06/10/2020,Not Achieve,October,2020
1086,Rita Keith,Alexandria,Yes,Sales Rep,67169,76915,975,06/08/2019,Not Achieve,August,2019
1087,Tim Patton,Aswan,Yes,Sales Manager,41376,42968,239,20/11/2022,Not Achieve,November,2022
1088,Sharon Cochran,Alexandria,Yes,Sales Rep,47554,53448,589,26/08/2021,Not Achieve,August,2021
1089,Michael Reyes,Giza,Yes,Sales Manager,46612,50589,199,18/09/2019,Not Achieve,September,2019
1090,Courtney Velasquez,Alexandria,Yes,Sales Manager,58009,62948,741,20/04/2023,Not Achieve,April,2023
1091,Robert Savage,Alexandria,Yes,Sales Manager,64277,62778,0,12/04/2021,Achieve,April,2021
1092,Corey Murphy,Tanta,Yes,Branch Manager,31120,36914,290,22/12/2019,Not Achieve,December,2019
1093,Diana May,Alexandria,Yes,Branch Manager,60583,61074,25,13/10/2022,Not Achieve,October,2022
1094,Sarah Rivera,Giza,Yes,Sales Rep,33050,30464,0,14/08/2019,Achieve,August,2019
1095,Wesley White,Cairo,Yes,Sales Manager,60060,68982,446,22/08/2021,Not Achieve,August,2021
1096,Kyle Reed,Tanta,Yes,Branch Manager,57727,55912,0,19/01/2022,Achieve,January,2022
1097,William Wilson,Tanta,Yes,Sales Rep,29671,35419,862,15/04/2024,Not Achieve,April,2024
1098,Andrew Graham,Cairo,No,Sales Rep,47862,46447,0,22/10/2023,Achieve,October,2023
1099,Kimberly Ball,Aswan,Yes,Branch Manager,36331,45230,445,01/02/2025,Not Achieve,February,2025
1100,Jeffrey Rush,Tanta,Yes,Sales Manager,63750,67452,555,11/03/2022,Not Achieve,March,2022
1101,Mary Martinez,Aswan,Yes,Sales Manager,60150,68503,1253,09/12/2021,Not Achieve,December,2021
1102,Mary Nguyen,Aswan,Yes,Branch Manager,49223,58922,485,25/04/2025,Not Achieve,April,2025
1103,Cameron Fisher,Tanta,Yes,Sales Rep,61789,61332,0,10/08/2022,Achieve,August,2022
1104,Stephanie Gilbert,Tanta,Yes,Sales Manager,48827,45096,0,11/12/2021,Achieve,December,2021
1105,Roy Torres,Alexandria,Yes,Sales Manager,40952,50583,1445,04/03/2021,Not Achieve,March,2021
1106,Kevin Pena,Cairo,Yes,Sales Rep,45102,51471,318,04/05/2023,Not Achieve,May,2023
1107,Michael Dixon,Giza,Yes,Sales Manager,41684,45574,389,29/10/2020,Not Achieve,October,2020
1108,Diane Beck,Tanta,Yes,Sales Manager,45524,55348,1474,25/08/2024,Not Achieve,August,2024
1109,Robert Potter,Cairo,No,Branch Manager,44928,47742,141,08/02/2025,Not Achieve,February,2025
1110,Robert Hernandez,Alexandria,Yes,Sales Manager,47460,51278,573,11/10/2019,Not Achieve,October,2019
1111,John Atkinson,Aswan,Yes,Sales Rep,51996,50591,0,02/01/2020,Achieve,January,2020
1112,Stephen Johnston,Tanta,Yes,Sales Manager,42028,47986,894,22/04/2025,Not Achieve,April,2025
1113,James Hernandez,Tanta,Yes,Sales Manager,28364,33559,779,26/03/2025,Not Achieve,March,2025
1114,Paul Carrillo,Cairo,No,Branch Manager,56987,62849,293,16/04/2020,Not Achieve,April,2020
1115,Colleen Brock,Cairo,Yes,Sales Rep,50257,48234,0,21/04/2025,Achieve,April,2025
1116,Amber Wright,Alexandria,Yes,Sales Rep,49799,50154,36,01/06/2020,Not Achieve,June,2020
1117,Robert Contreras,Tanta,Yes,Sales Manager,36532,45211,434,20/02/2024,Not Achieve,February,2024
1118,Tiffany Vance,Tanta,Yes,Branch Manager,23413,24146,37,05/08/2024,Not Achieve,August,2024
1119,Stephanie Simmons,Cairo,Yes,Branch Manager,22638,29995,368,17/01/2024,Not Achieve,January,2024
1120,Christopher Hensley,Giza,Yes,Sales Rep,60719,58215,0,19/03/2023,Achieve,March,2023
1121,David Walsh,Giza,Yes,Sales Rep,56960,55531,0,26/10/2023,Achieve,October,2023
1122,Mr. Jeremiah Reeves,Alexandria,Yes,Sales Rep,59707,64656,742,18/05/2021,Not Achieve,May,2021
1123,Francisco Fernandez,Cairo,Yes,Sales Rep,40384,37155,0,23/07/2020,Achieve,July,2020
1124,James Hernandez,Cairo,No,Branch Manager,64390,74267,988,15/03/2021,Not Achieve,March,2021
1125,Jason Daniels,Tanta,No,Sales Rep,24980,29680,705,02/12/2022,Not Achieve,December,2022
1126,Ross Price,Giza,Yes,Sales Manager,64843,69680,242,08/05/2024,Not Achieve,May,2024
1127,Alicia Gilmore,Aswan,Yes,Sales Manager,54913,56931,303,12/04/2024,Not Achieve,April,2024
1128,Aaron Bell,Alexandria,Yes,Branch Manager,42362,37569,0,13/09/2022,Achieve,September,2022
1129,Tiffany Barnes,Tanta,Yes,Sales Manager,61653,71260,961,11/01/2024,Not Achieve,January,2024
1130,Stephanie Freeman,Giza,Yes,Branch Manager,54193,59850,566,14/09/2021,Not Achieve,September,2021
1131,Allen Rogers,Aswan,Yes,Branch Manager,51686,54302,262,28/02/2025,Not Achieve,February,2025
1132,Misty Pittman,Aswan,Yes,Sales Rep,25679,25248,0,20/06/2020,Achieve,June,2020
1133,Ms. Susan Vargas,Giza,Yes,Branch Manager,59998,65945,595,08/01/2025,Not Achieve,January,2025
1134,Marvin Taylor,Alexandria,Yes,Sales Manager,31917,34905,149,24/04/2023,Not Achieve,April,2023
1135,David Murphy,Alexandria,Yes,Sales Manager,38327,47750,1413,02/04/2023,Not Achieve,April,2023
1136,Philip Gray,Alexandria,Yes,Branch Manager,32521,28923,0,20/12/2022,Achieve,December,2022
1137,Bradley Smith,Tanta,Yes,Sales Rep,65259,68059,420,21/12/2023,Not Achieve,December,2023
1138,Trevor Walker,Tanta,Yes,Sales Rep,26098,25918,0,20/12/2019,Achieve,December,2019
1139,Marissa Webster,Tanta,Yes,Sales Manager,63513,68041,453,27/06/2021,Not Achieve,June,2021
1140,Alex Hernandez,Tanta,Yes,Sales Manager,47885,55106,1083,16/06/2020,Not Achieve,June,2020
1141,Brian Gould,Alexandria,Yes,Sales Manager,37754,37777,2,04/05/2023,Not Achieve,May,2023
1142,Pamela Jackson,Giza,Yes,Sales Rep,40679,37637,0,19/07/2024,Achieve,July,2024
1143,Michelle Strickland,Aswan,No,Branch Manager,32133,30271,0,10/10/2020,Achieve,October,2020
1144,Ashley Johnson,Tanta,Yes,Branch Manager,69820,73415,539,14/01/2022,Not Achieve,January,2022
1145,Susan Brooks,Alexandria,No,Sales Rep,39414,38141,0,26/01/2021,Achieve,January,2021
1146,Michael Burton,Giza,Yes,Branch Manager,55005,52078,0,01/04/2020,Achieve,April,2020
1147,Elizabeth Sutton,Cairo,No,Branch Manager,39145,45571,321,31/05/2020,Not Achieve,May,2020
1148,Kylie Williams,Tanta,Yes,Sales Rep,57621,57279,0,01/12/2023,Achieve,December,2023
1149,Jacob Hunter,Tanta,Yes,Sales Rep,23367,22503,0,15/04/2022,Achieve,April,2022
1150,Jason Henry,Cairo,Yes,Sales Manager,52227,48440,0,26/01/2023,Achieve,January,2023
1151,Madison Poole,Cairo,Yes,Branch Manager,39912,36307,0,07/09/2020,Achieve,September,2020
1152,Nicholas Sheppard,Cairo,Yes,Sales Manager,59735,64501,715,06/09/2021,Not Achieve,September,2021
1153,Tamara Hampton,Giza,Yes,Sales Manager,49524,59408,988,04/05/2023,Not Achieve,May,2023
1154,Nicholas Adams,Alexandria,No,Sales Manager,40013,44329,647,21/06/2021,Not Achieve,June,2021
1155,Angelica Keith,Cairo,Yes,Branch Manager,26503,33999,375,16/06/2021,Not Achieve,June,2021
1156,Laura Barnett,Giza,Yes,Sales Rep,30292,29221,0,31/03/2022,Achieve,March,2022
1157,Samuel White,Aswan,Yes,Sales Rep,46772,49153,357,10/03/2021,Not Achieve,March,2021
1158,David Ramirez,Aswan,Yes,Sales Rep,35170,34890,0,15/06/2024,Achieve,June,2024
1159,Desiree Smith,Alexandria,Yes,Sales Manager,24664,30926,313,03/01/2021,Not Achieve,January,2021
1160,Nathan Freeman,Alexandria,Yes,Branch Manager,58652,64484,292,05/06/2021,Not Achieve,June,2021
1161,Maria Henry,Tanta,Yes,Sales Rep,62443,59884,0,13/07/2019,Achieve,July,2019
1162,Daniel Holt,Giza,Yes,Sales Rep,40159,44908,712,27/12/2021,Not Achieve,December,2021
1163,Jackie Tran,Aswan,No,Sales Manager,28149,30828,402,23/04/2022,Not Achieve,April,2022
1164,Patrick Rivera,Alexandria,Yes,Sales Manager,52798,56645,385,12/05/2025,Not Achieve,May,2025
1165,Eric Hall,Tanta,Yes,Sales Rep,48313,55347,703,08/01/2021,Not Achieve,January,2021
1166,Patrick Tapia,Aswan,Yes,Sales Rep,35002,41049,907,03/04/2025,Not Achieve,April,2025
1167,Daniel Washington,Aswan,No,Branch Manager,37662,42103,222,25/05/2024,Not Achieve,May,2024
1168,Kelly Campbell,Giza,Yes,Branch Manager,48981,48538,0,28/03/2020,Achieve,March,2020
1169,Elizabeth Ward,Aswan,Yes,Sales Manager,25979,28679,270,15/12/2021,Not Achieve,December,2021
1170,Joseph Hill,Tanta,Yes,Branch Manager,26855,35908,453,06/11/2019,Not Achieve,November,2019
1171,Melissa Martinez,Alexandria,Yes,Sales Manager,38888,44743,586,24/07/2023,Not Achieve,July,2023
1172,Adam Mitchell,Aswan,Yes,Sales Rep,40612,39747,0,16/06/2023,Achieve,June,2023
1173,Cody Williams,Cairo,No,Sales Manager,53724,62239,426,13/06/2023,Not Achieve,June,2023
1174,Austin Vasquez,Aswan,Yes,Sales Rep,32293,35787,349,16/04/2024,Not Achieve,April,2024
1175,Amy Hernandez,Aswan,Yes,Branch Manager,48969,56420,373,03/03/2024,Not Achieve,March,2024
1176,Angela Wright,Giza,Yes,Sales Rep,38876,41054,327,17/02/2024,Not Achieve,February,2024
1177,Lisa Gibbs,Tanta,Yes,Branch Manager,59903,67998,405,21/04/2021,Not Achieve,April,2021
1178,Jamie Kerr,Giza,Yes,Sales Rep,56192,57876,84,29/11/2021,Not Achieve,November,2021
1179,Wanda Torres,Giza,No,Sales Rep,50241,47165,0,31/08/2024,Achieve,August,2024
1180,Tyler Garcia,Giza,Yes,Branch Manager,39127,42464,501,24/02/2021,Not Achieve,February,2021
1181,Deborah Miller,Alexandria,Yes,Sales Manager,50947,49940,0,04/06/2021,Achieve,June,2021
1182,Benjamin Smith,Aswan,Yes,Sales Rep,59280,62607,499,20/03/2023,Not Achieve,March,2023
1183,Julie Johnson,Giza,No,Sales Manager,47193,47761,85,01/11/2021,Not Achieve,November,2021
1184,Michele Gibson,Alexandria,Yes,Sales Manager,67582,67473,0,25/03/2025,Achieve,March,2025
1185,Dennis Moody,Aswan,No,Sales Manager,29738,32054,347,26/05/2024,Not Achieve,May,2024
1186,Taylor Coleman,Tanta,Yes,Branch Manager,69995,73898,390,06/01/2024,Not Achieve,January,2024
1187,Chase Baker,Tanta,No,Sales Rep,65711,64623,0,04/08/2020,Achieve,August,2020
1188,Christopher Parker,Tanta,Yes,Sales Manager,22860,23073,32,23/03/2024,Not Achieve,March,2024
1189,Jessica Harrison,Tanta,Yes,Sales Manager,45302,51175,881,20/12/2021,Not Achieve,December,2021
1190,Terri Mason,Giza,Yes,Sales Rep,28273,31502,484,02/08/2023,Not Achieve,August,2023
1191,Kyle Preston,Alexandria,No,Sales Manager,26534,30151,362,15/02/2022,Not Achieve,February,2022
1192,Allison Perez,Cairo,Yes,Sales Manager,62911,60440,0,12/02/2025,Achieve,February,2025
1193,Laura Sampson,Tanta,Yes,Sales Manager,42187,47398,782,06/02/2025,Not Achieve,February,2025
1194,Laura Hines,Tanta,Yes,Sales Manager,64194,73273,1362,15/11/2020,Not Achieve,November,2020
1195,Matthew Moon,Tanta,No,Branch Manager,67101,76640,954,04/12/2020,Not Achieve,December,2020
1196,Jessica Olsen DVM,Aswan,Yes,Sales Rep,35385,40725,801,20/05/2023,Not Achieve,May,2023
1197,Gary Santiago,Alexandria,No,Branch Manager,25923,28033,106,01/10/2020,Not Achieve,October,2020
1198,Michael Roberts,Cairo,Yes,Branch Manager,39625,49426,490,16/10/2022,Not Achieve,October,2022
1199,Krista Gibson,Cairo,Yes,Sales Rep,39226,40099,87,22/01/2022,Not Achieve,January,2022
